3.000000 1.000000 0.731707
-15.000000 -15.000000 30.000000 30.000000
-11.341463 -15.000000 -15.000000 -15.000000
-15.000000 -15.000000 -15.000000 -11.341463
-11.341463 -11.341463 -15.000000 -11.341463
-15.000000 -11.341463 -15.000000 -7.682927
-15.000000 -7.682927 -15.000000 -4.024390
-15.000000 -4.024390 -15.000000 -0.365854
-11.341463 -0.365854 -15.000000 -0.365854
-15.000000 -0.365854 -15.000000 3.292683
-11.341463 3.292683 -15.000000 3.292683
-15.000000 3.292683 -15.000000 6.951220
-15.000000 6.951220 -15.000000 10.609756
-15.000000 10.609756 -15.000000 14.268293
-11.341463 14.268293 -15.000000 14.268293
-7.682927 -15.000000 -11.341463 -15.000000
-11.341463 -11.341463 -11.341463 -7.682927
-7.682927 -4.024390 -11.341463 -4.024390
-7.682927 -0.365854 -11.341463 -0.365854
-11.341463 6.951220 -11.341463 10.609756
-7.682927 10.609756 -11.341463 10.609756
-7.682927 14.268293 -11.341463 14.268293
-4.024390 -15.000000 -7.682927 -15.000000
-7.682927 -15.000000 -7.682927 -11.341463
-7.682927 -11.341463 -7.682927 -7.682927
-7.682927 -7.682927 -7.682927 -4.024390
-4.024390 -4.024390 -7.682927 -4.024390
-4.024390 -0.365854 -7.682927 -0.365854
-7.682927 3.292683 -7.682927 6.951220
-4.024390 6.951220 -7.682927 6.951220
-7.682927 6.951220 -7.682927 10.609756
-4.024390 14.268293 -7.682927 14.268293
-0.365854 -15.000000 -4.024390 -15.000000
-0.365854 -11.341463 -4.024390 -11.341463
-4.024390 -11.341463 -4.024390 -7.682927
-0.365854 -4.024390 -4.024390 -4.024390
-0.365854 -0.365854 -4.024390 -0.365854
-4.024390 -0.365854 -4.024390 3.292683
-0.365854 3.292683 -4.024390 3.292683
-0.365854 6.951220 -4.024390 6.951220
-0.365854 10.609756 -4.024390 10.609756
-0.365854 14.268293 -4.024390 14.268293
3.292683 -15.000000 -0.365854 -15.000000
3.292683 -11.341463 -0.365854 -11.341463
-0.365854 -7.682927 -0.365854 -4.024390
3.292683 -4.024390 -0.365854 -4.024390
3.292683 -0.365854 -0.365854 -0.365854
3.292683 6.951220 -0.365854 6.951220
-0.365854 10.609756 -0.365854 14.268293
6.951220 -15.000000 3.292683 -15.000000
6.951220 -11.341463 3.292683 -11.341463
3.292683 -11.341463 3.292683 -7.682927
6.951220 -4.024390 3.292683 -4.024390
3.292683 -0.365854 3.292683 3.292683
3.292683 3.292683 3.292683 6.951220
3.292683 6.951220 3.292683 10.609756
6.951220 14.268293 3.292683 14.268293
10.609756 -15.000000 6.951220 -15.000000
10.609756 -11.341463 6.951220 -11.341463
10.609756 -7.682927 6.951220 -7.682927
6.951220 -7.682927 6.951220 -4.024390
6.951220 -4.024390 6.951220 -0.365854
6.951220 -0.365854 6.951220 3.292683
6.951220 3.292683 6.951220 6.951220
6.951220 6.951220 6.951220 10.609756
10.609756 10.609756 6.951220 10.609756
10.609756 14.268293 6.951220 14.268293
14.268293 -15.000000 10.609756 -15.000000
14.268293 -15.000000 14.268293 -11.341463
10.609756 -11.341463 10.609756 -7.682927
14.268293 -11.341463 14.268293 -7.682927
14.268293 -4.024390 10.609756 -4.024390
14.268293 -7.682927 14.268293 -4.024390
14.268293 -4.024390 14.268293 -0.365854
10.609756 -0.365854 10.609756 3.292683
14.268293 -0.365854 14.268293 3.292683
10.609756 3.292683 10.609756 6.951220
14.268293 3.292683 14.268293 6.951220
10.609756 6.951220 10.609756 10.609756
14.268293 6.951220 14.268293 10.609756
14.268293 14.268293 10.609756 14.268293
14.268293 10.609756 14.268293 14.268293
