5.000000 1.000000 0.400000
-15.000000 -15.000000 30.000000 30.000000
-11 -15 -15 -15
-15 -15 -15 -11
-11 -11 -15 -11
-15 -11 -15 -7
-15 -7 -15 -4
-11 -4 -15 -4
-15 -4 -15 0
-15 0 -15 3
-15 3 -15 6
-15 6 -15 10
-11 10 -15 10
-15 10 -15 14
-11 14 -15 14
-7 -15 -11 -15
-7 -11 -11 -11
-7 -7 -11 -7
-7 -4 -11 -4
-7 0 -11 0
-11 0 -11 3
-11 3 -11 6
-7 6 -11 6
-7 14 -11 14
-4 -15 -7 -15
-4 -7 -7 -7
-4 -4 -7 -4
-4 0 -7 0
-4 3 -7 3
-4 6 -7 6
-7 6 -7 10
-4 14 -7 14
0 -15 -4 -15
-4 -15 -4 -11
-4 -11 -4 -7
0 -7 -4 -7
0 0 -4 0
0 3 -4 3
0 6 -4 6
-4 10 -4 14
0 14 -4 14
3 -15 0 -15
3 -11 0 -11
0 -7 0 -4
0 -4 0 0
0 3 0 6
3 6 0 6
0 6 0 10
3 14 0 14
6 -15 3 -15
3 -11 3 -7
3 -7 3 -4
6 -4 3 -4
3 -4 3 0
3 0 3 3
6 3 3 3
6 10 3 10
3 10 3 14
10 -15 6 -15
6 -15 6 -11
6 -11 6 -7
10 -7 6 -7
10 -4 6 -4
10 0 6 0
6 3 6 6
10 6 6 6
6 6 6 10
10 14 6 14
14 -15 10 -15
14 -15 14 -11
10 -11 10 -7
14 -11 14 -7
14 -7 14 -4
14 0 10 0
14 -4 14 0
10 0 10 3
14 0 14 3
14 3 14 6
10 6 10 10
14 6 14 10
14 14 10 14
14 10 14 14
